Time (ms),3xAA,4xAA,2xAA,Time (minutes),3xAA (V),4xAA (V),2xAA (V)
0,841,8,44,0,4.1064453125,0.0390625,0.21484375
0,581,1007,44,0,2.8369140625,4.9169921875,0.21484375
5000,450,1007,43,0.0833333333,2.197265625,4.9169921875,0.2099609375
10001,672,1006,43,0.1666833333,3.28125,4.912109375,0.2099609375
15002,579,1007,42,0.2500333333,2.8271484375,4.9169921875,0.205078125
20003,392,1007,42,0.3333833333,1.9140625,4.9169921875,0.205078125
25006,704,1007,42,0.4167666667,3.4375,4.9169921875,0.205078125
30007,730,1007,41,0.5001166667,3.564453125,4.9169921875,0.2001953125
35008,594,1007,40,0.5834666667,2.900390625,4.9169921875,0.1953125
40009,686,1007,40,0.6668166667,3.349609375,4.9169921875,0.1953125
45010,647,1007,40,0.7501666667,3.1591796875,4.9169921875,0.1953125
50012,615,1007,40,0.8335333333,3.0029296875,4.9169921875,0.1953125
55013,0,1008,39,0.9168833333,0,4.921875,0.1904296875
60013,4,1006,39,1.0002166667,0.01953125,4.912109375,0.1904296875
65014,524,1007,38,1.0835666667,2.55859375,4.9169921875,0.185546875
70016,556,1007,38,1.1669333333,2.71484375,4.9169921875,0.185546875
75017,592,1007,38,1.2502833333,2.890625,4.9169921875,0.185546875
80018,590,1006,38,1.3336333333,2.880859375,4.912109375,0.185546875
85019,586,1007,37,1.4169833333,2.861328125,4.9169921875,0.1806640625
90020,589,1007,37,1.5003333333,2.8759765625,4.9169921875,0.1806640625
95023,596,1006,36,1.5837166667,2.91015625,4.912109375,0.17578125
100024,626,1007,36,1.6670666667,3.056640625,4.9169921875,0.17578125
105025,615,1007,35,1.7504166667,3.0029296875,4.9169921875,0.1708984375
110026,633,1007,36,1.8337666667,3.0908203125,4.9169921875,0.17578125
115027,625,1007,35,1.9171166667,3.0517578125,4.9169921875,0.1708984375
120029,630,1007,35,2.0004833333,3.076171875,4.9169921875,0.1708984375
125030,671,1007,34,2.0838333333,3.2763671875,4.9169921875,0.166015625
130031,482,1007,34,2.1671833333,2.353515625,4.9169921875,0.166015625
135032,596,1006,34,2.2505333333,2.91015625,4.912109375,0.166015625
140034,622,1006,33,2.3339,3.037109375,4.912109375,0.1611328125
145035,638,1006,33,2.41725,3.115234375,4.912109375,0.1611328125
150036,640,1006,33,2.5006,3.125,4.912109375,0.1611328125
155037,646,1007,33,2.58395,3.154296875,4.9169921875,0.1611328125
160038,646,1007,32,2.6673,3.154296875,4.9169921875,0.15625
165040,647,1007,31,2.7506666667,3.1591796875,4.9169921875,0.1513671875
170041,647,1007,31,2.8340166667,3.1591796875,4.9169921875,0.1513671875
175042,647,1007,32,2.9173666667,3.1591796875,4.9169921875,0.15625
180044,653,1007,31,3.0007333333,3.1884765625,4.9169921875,0.1513671875
185046,645,1007,31,3.0841,3.1494140625,4.9169921875,0.1513671875
190047,647,1007,31,3.16745,3.1591796875,4.9169921875,0.1513671875
195048,644,1007,30,3.2508,3.14453125,4.9169921875,0.146484375
200049,646,1007,30,3.33415,3.154296875,4.9169921875,0.146484375
205050,646,1007,30,3.4175,3.154296875,4.9169921875,0.146484375
210052,625,1008,30,3.5008666667,3.0517578125,4.921875,0.146484375
215053,634,1009,30,3.5842166667,3.095703125,4.9267578125,0.146484375
220054,617,1008,28,3.6675666667,3.0126953125,4.921875,0.13671875
225055,637,1008,28,3.7509166667,3.1103515625,4.921875,0.13671875
230056,271,1008,28,3.8342666667,1.3232421875,4.921875,0.13671875
235058,647,1009,28,3.9176333333,3.1591796875,4.9267578125,0.13671875
240059,578,1009,1023,4.0009833333,2.822265625,4.9267578125,4.9951171875
245060,531,1009,872,4.0843333333,2.5927734375,4.9267578125,4.2578125
250062,143,1009,978,4.1677,0.6982421875,4.9267578125,4.775390625
255064,625,1009,839,4.2510666667,3.0517578125,4.9267578125,4.0966796875
260065,25,893,944,4.3344166667,0.1220703125,4.3603515625,4.609375
265066,1023,887,829,4.4177666667,4.9951171875,4.3310546875,4.0478515625
270067,1023,885,826,4.5011166667,4.9951171875,4.3212890625,4.033203125
275068,1023,882,934,4.5844666667,4.9951171875,4.306640625,4.560546875
280070,1023,880,912,4.6678333333,4.9951171875,4.296875,4.453125
285071,1023,877,817,4.7511833333,4.9951171875,4.2822265625,3.9892578125
290072,1023,875,814,4.8345333333,4.9951171875,4.2724609375,3.974609375
295073,1023,874,809,4.9178833333,4.9951171875,4.267578125,3.9501953125
300076,1023,872,892,5.0012666667,4.9951171875,4.2578125,4.35546875
305077,1023,871,808,5.0846166667,4.9951171875,4.2529296875,3.9453125
310078,1023,870,846,5.1679666667,4.9951171875,4.248046875,4.130859375
315079,1023,869,803,5.2513166667,4.9951171875,4.2431640625,3.9208984375
320080,1023,867,802,5.3346666667,4.9951171875,4.2333984375,3.916015625
325082,1023,866,801,5.4180333333,4.9951171875,4.228515625,3.9111328125
330083,1023,865,797,5.5013833333,4.9951171875,4.2236328125,3.8916015625
335084,1023,864,797,5.5847333333,4.9951171875,4.21875,3.8916015625
340085,1023,863,795,5.6680833333,4.9951171875,4.2138671875,3.8818359375
345088,1023,861,792,5.7514666667,4.9951171875,4.2041015625,3.8671875
350089,1023,861,790,5.8348166667,4.9951171875,4.2041015625,3.857421875
355090,1023,860,790,5.9181666667,4.9951171875,4.19921875,3.857421875
360091,1023,859,847,6.0015166667,4.9951171875,4.1943359375,4.1357421875
365092,1023,857,787,6.0848666667,4.9951171875,4.1845703125,3.8427734375
370094,1023,857,786,6.1682333333,4.9951171875,4.1845703125,3.837890625
375095,1023,856,796,6.2515833333,4.9951171875,4.1796875,3.88671875
380096,1023,854,785,6.3349333333,4.9951171875,4.169921875,3.8330078125
385097,1023,854,784,6.4182833333,4.9951171875,4.169921875,3.828125
